MaxTripDistance,zscore_climate,center_year,sex,penguinseq
106.26,1.041591912184039,10,F,205012
121.96,0.0556271414409505,10,F,205012
110.45,-0.8125190285706377,10,F,205012
80.95,1.1921165588330067,-10,F,25061
65.71,1.7000444301277562,-10,F,25061
127.31,1.8670668293562096,-10,F,25061
94.96,1.4998413448289432,-10,F,25061
125.28,1.2436470032382971,1,M,25582
93.39,-1.3597478583805827,1,M,25582
133.01,-1.3826407663015585,1,M,25582
91.43,-0.3018259773921978,1,M,25582
171.14,0.2182039870493132,1,M,25582
161.89,0.49690423876043455,1,M,25582
101.03,0.1978244907390785,-6,M,27556
67,1.036534236390358,-6,M,27556
62.9,-2.8949129361112087,-10,M,27832
117.03,-2.740541825398215,-10,M,27832
91.79,-1.4374153927245124,-10,M,27832
71.13,-1.4135533056022527,-8,M,27832
54.48,-1.7572359237878796,-8,M,27832
60.02,-1.5043463586828423,-8,M,27832
74.74,-1.0856804453946005,-8,M,27832
62.28,-0.6357360979589765,-8,M,27832
85.82,-0.16176715089828125,-8,M,27832
71.21,-0.6354081880100457,-8,M,27832
110.68,-2.8277012285373933,-11,M,28276
46.62,-0.3391360397586864,-11,M,28276
58.08,0.48438845919786305,-11,M,28276
34.95,0.16531700867527213,-11,M,28276
46.88,0.06956324234123383,-11,M,28276
23.87,-2.737990805368683,-10,M,28392
48.38,-1.3198622278921301,-8,M,28392
52.29,-1.7572359237878796,-8,M,28392
64.71,-1.5043463586828423,-8,M,28392
54.89,-0.03498769263895102,-8,M,28392
56.76,-0.22994865821458138,-8,M,28392
56.93,-0.8161429586650085,-8,M,28392
118.78,-0.9777353428743105,-8,M,28392
46.65,-0.1393006619741762,-8,M,28392
37.07,0.8356606472006691,-8,M,28425
105.18,0.35514885730606605,-8,M,28425
182.92,-0.006709917683809377,-8,M,28425
163.46,0.587565809790037,-8,M,28425
94.54,0.9997678530196751,-8,M,28425
114.21,-0.04838004634996143,-8,M,28425
147.99,0.07005733848202259,-11,M,28438
116.89,-0.2885965526028048,-11,M,28438
109.61,-0.30225705339096376,-11,M,28535
120.16,-0.26277462615635294,-11,M,28535
114.92,0.860151424483523,-11,M,28535
117.11,0.5637662089089113,-11,M,28535
72.65,0.2578753912044748,-11,M,28535
119.36,-0.724778929168311,-11,M,28535
80.52,-0.24687423325192034,-11,F,29008
70.68,-0.3718750563727334,-11,F,29008
44.36,-2.740541825398215,-10,M,29052
47.94,-1.237532356719675,-10,M,29052
55.46,-1.1298749347419308,-10,M,29052
129.05,-1.0795349501968259,-10,M,29052
54.44,-1.2067739497719012,-10,M,29052
94.67,-0.8302171330405533,-10,M,29052
91.7,-1.414150585499007,-5,M,29063
85.03,-0.9437735769049497,-3,M,29063
117.12,-0.4277167550918965,-3,M,29063
132.32,1.3517468062581097,-3,M,29063
147.55,0.32638971983814546,-3,M,29063
159.91,-0.47161554145782086,-3,M,29063
83.96,-2.6929337674372698,-11,M,29208
40.32,-0.9754648186973253,-11,M,29208
45.88,-0.28993255451820626,-11,M,29208
47.91,0.48438845919786305,-11,M,29208
66.06,0.2419502117968671,-11,M,29208
73.18,0.06956324234123383,-11,M,29208
81.64,-0.4879767423285758,-11,M,29208
117.77,-0.43909488345480624,-5,M,29414
167.68,-0.55037045468832,-5,M,29414
116.8,2.085141196121434,-5,M,29414
149.46,2.1857522956516062,-5,M,29414
180.42,1.0101789691648044,-5,M,29414
52.35,-1.4589673221739916,-9,M,29460
97.04,-1.59041193803715,-9,M,29460
71.96,-1.236539470412736,-9,M,29460
90.12,-1.009581414940138,-9,M,29460
75.33,-0.7434012261307544,-9,M,29460
100.28,-1.2166997666029713,-9,M,29460
181.54,-0.2748127772342382,-11,M,29530
68.69,-0.2885965526028048,-11,M,29530
179.43,0.2582936348318385,-11,M,29530
115.51,-0.43909488345480624,-5,M,29677
107.75,-0.55037045468832,-5,M,29677
101.82,0.7227093980718088,-5,M,29677
102.16,2.085141196121434,-5,M,29677
112.17,2.2033564475355454,-5,M,29677
118.34,1.812891222541417,-5,M,29677
70.24,0.5698027074227351,-5,M,29677
135.58,0.04934275876324628,-5,M,29677
86.52,0.12011472204966285,-5,M,29677
99.38,0.21249745785447802,-5,M,29677
72.74,1.1087121925793395,-10,M,30129
70.17,1.5081593352896174,-10,M,30129
82.12,1.8670668293562096,-10,M,30129
92.55,1.7237386203332132,-10,M,30129
83.91,0.8271469363976229,-10,M,30129
86.07,-0.01894655193025038,-10,M,30129
79.45,0.05269322951994254,-10,M,30129
133.55,-0.4168702145208177,-10,M,30129
47.28,-0.034054877371814375,-11,M,30184
63.82,-0.5785313813925319,-11,M,30184
168.95,0.15273506597110276,-8,M,30184
34.01,0.04585158208729003,-8,M,30184
54.41,0.587565809790037,-8,M,30184
82.26,1.0224382827025869,-8,M,30184
63,0.654571870310997,-8,M,30184
140.35,0.07005733848202259,-11,M,30347
85.15,-0.0700608388241166,-11,M,30347
137.39,-0.2748127772342382,-11,M,30347
34.78,0.6435492293447274,-8,M,30347
58.39,-0.13243279059413493,-8,M,30347
41.97,0.20306036923214826,-8,M,30347
32.57,-0.42488246556900777,-8,M,30347
49.15,0.9997678530196751,-8,M,30347
150.19,1.3923034129000447,-8,M,30347
138.55,1.5041260104966976,-8,M,30347
91.29,-1.839275621661641,-9,M,30506
82.18,-1.8939612274752802,-9,M,30506
101.41,-1.59041193803715,-9,M,30506
90.93,-1.236539470412736,-9,M,30506
110.43,-1.201604234225682,-9,M,30506
58.95,1.1087121925793395,-10,M,30508
73.22,1.4953151672915947,-10,M,30508
94.35,1.4998413448289432,-10,M,30508
113.31,0.5417994779418479,-10,M,30508
106.49,-0.21376500224965497,-10,M,30508
69.16,-1.5522868454063328,-9,M,31967
112.61,-0.7890295422660107,-9,M,31967
122.3,-0.17309238440930103,-9,M,31967
158.02,-0.025692977648139582,-9,M,31967
80.24,-0.21270753407563053,-9,M,31967
115.9,-1.137554834558869,-5,M,31967
127.63,0.7084324433902892,-5,M,31967
114.92,2.085141196121434,-5,M,31967
115.15,2.1857522956516062,-5,M,31967
123.87,1.082737943835101,-5,M,31967
113.96,0.17123485806759425,-5,M,31967
55.3,-1.5522868454063328,-9,M,32268
37.82,-0.9499557104570598,-9,M,32268
41.9,-0.1981476216756656,-9,M,32268
67.34,0.4482453448732296,-9,M,32268
65.5,-0.025692977648139582,-9,M,32268
70.2,-0.41724131844750395,-7,M,33034
79.32,-0.13042994912372502,-7,M,33034
129.85,-0.40195302092734875,-7,M,33034
96.06,-1.4472483147645974,-7,M,33034
70.21,0.7531888036824822,-7,M,33034
142.45,0.7307625108247997,-7,M,33034
107.52,-0.826893565462281,-5,M,33034
126.65,-1.137554834558869,-5,M,33034
116.18,0.7084324433902892,-5,M,33034
133.29,1.5999502576759852,-5,M,33034
124.83,2.0314001011278195,-5,M,33034
150.86,1.0101789691648044,-5,M,33034
152.52,-0.13946932978768697,-5,M,33034
133.65,0.3266042296319412,-5,M,33034
55.4,-1.7572359237878796,-8,M,43531
100.26,-0.22994865821458138,-8,M,43531
90.56,-0.7934902320332075,-8,M,43531
98.06,-0.7801175947177351,-8,M,43531
106.64,0.21647372252940342,-8,M,43531
101.7,0.35649539629857263,-8,M,43531
82.11,0.011173826116223121,-7,M,45263
95.03,0.0033130140196292804,-7,M,45263
77.09,-0.3428361288278888,-7,M,45263
111.39,-0.40195302092734875,-7,M,45263
140.5,-0.8968823060678369,-7,M,45263
129.69,-0.9153010133364534,-7,M,45263
187.97,0.5185528619014113,-7,M,45263
105.59,-1.137554834558869,-5,M,45715
114.16,0.4599311664289553,-5,M,45715
143.99,2.0314001011278195,-5,M,45715
118.08,0.6364658741784984,-5,M,45715
171.02,0.04934275876324628,-5,M,45715
118.17,-0.008661329310293644,-7,M,46039
107.25,-0.8543867164648149,-5,M,46039
82.81,-0.9952706047490227,-5,M,46039
110.88,-1.137554834558869,-5,M,46039
122.91,0.7084324433902892,-5,M,46039
126.38,1.5999502576759852,-5,M,46039
143.66,2.1857522956516062,-5,M,46039
153.49,1.0101789691648044,-5,M,46039
76.26,0.04934275876324628,-5,M,46039
135.3,0.17231422991733164,-5,M,46039
60.58,-0.09727327083025064,-3,M,46039
79.41,-0.3497101192760147,-3,M,46039
109.38,-0.5426459515488792,-3,M,46039
155.52,-0.40508884445186855,-3,M,46039
127.12,0.09598293838000668,-3,M,46039
163.08,1.4806299732959622,-3,M,46039
172.17,1.4031039919022217,-3,M,46039
64.87,1.5206347137411247,1,M,46650
112.45,0.28683238940164685,1,M,46650
78.96,-1.315160201280927,1,M,46650
84.79,-1.4313037461007516,1,M,46650
75.46,-1.2059409779562635,1,M,46650
102.18,-0.3018259773921978,1,M,46650
111.13,0.7845431481237857,1,M,46650
116.4,0.1821449278867023,1,M,46650
98.87,-1.137554834558869,-5,M,46834
99.34,0.7084324433902892,-5,M,46834
105.35,1.5999502576759852,-5,M,46834
107.78,2.1857522956516062,-5,M,46834
140.06,0.17123485806759425,-5,M,46834
112.51,1.5067172487676572,-5,M,46834
94.31,1.1686587194144777,-5,M,46834
107.2,-0.23511349460755518,-6,M,46846
176.64,-0.4996281798440925,-6,M,46846
73.3,-0.008661329310293644,-7,M,46877
94.43,-0.13042994912372502,-7,M,46877
97.14,-0.8820677794475655,-7,M,46877
85.77,-1.0170791721153991,-7,M,46877
78.39,-0.9153010133364534,-7,M,46877
107.33,-0.7379681895754497,-12,M,47060
109.19,0.3421639205423418,-12,M,47060
133.36,0.841546547165404,-12,M,47060
106.59,0.36381469032044866,-12,M,47060
98.39,0.5052112967479302,-12,M,47060
67.76,-0.2818453595196152,-3,M,47094
40.87,-0.7503462691055661,-3,M,47094
111.67,-0.3746324579243882,-3,M,47094
88.63,0.0726559397418769,-3,M,47094
106.72,1.085057383588591,-3,M,47094
114.88,1.7137078485961956,-3,M,47094
167.24,1.3517468062581097,-3,M,47094
67.47,0.40155627120555504,-2,M,47094
48.95,0.7657110768128917,-2,M,47094
73.1,1.2256177864963544,-2,M,47094
132.63,0.3476385885454754,-2,M,47094
145.08,-0.7778887148741774,-2,M,47094
62.51,0.9572472254912658,-2,M,47094
71,0.23501806575533862,-9,F,47160
42.77,-0.6749909521672738,-9,F,47160
63.61,-1.5522868454063328,-9,F,47160
117.22,-0.888585268179613,-9,F,47160
45.06,0.07511538509596462,-9,F,47160
90.8,-1.2999518383702549,-9,M,47161
76.44,-0.7890295422660107,-9,M,47161
95.92,-0.37858857502023197,-9,M,47161
65.18,-0.012005374735248268,-2,M,47161
165.59,0.7657110768128917,-2,M,47161
171.84,0.28691340773191326,-2,M,47161
171.6,-0.3951262846397124,-2,M,47161
78.16,-0.9499557104570598,-9,M,47164
97.7,-0.1797556598242339,-9,M,47164
66.09,-0.006709917683809377,-8,M,47164
26.44,-0.42488246556900777,-8,M,47164
98.34,-1.0838921536935358,-9,F,47167
55.46,-0.17718219101205593,-9,F,47167
79.79,-1.5522868454063328,-9,M,47168
154.14,-0.9499557104570598,-9,M,47168
132.76,0.4482453448732296,-9,M,47168
119.45,0.07511538509596462,-9,M,47168
53.83,1.4316057197490761,1,M,47168
133.41,1.4005274541612098,1,M,47168
71.52,0.28683238940164685,1,M,47168
118.1,-1.315160201280927,1,M,47168
101.9,-1.3826407663015585,1,M,47168
147.84,-0.3018259773921978,1,M,47168
112.18,0.1608651980011189,1,M,47168
78.02,-1.7268321465463705,7,M,47182
68.96,-1.1337943512408843,7,M,47182
66.78,-0.17633485314751265,7,M,47182
93.5,-0.09520676173474665,7,M,47182
62.64,0.49986947886655314,7,M,47182
49.81,0.8649236014713472,7,M,47182
61.4,0.20753195382958906,7,M,47182
105.18,-0.6205361216918274,7,M,47182
125.12,-0.41523725272725415,7,M,47182
87.94,0.35391043669709793,7,M,47182
77.29,-0.5426459515488792,-3,M,47195
32.56,-0.3746324579243882,-3,M,47195
81.08,-0.4277167550918965,-3,M,47195
102.06,0.0726559397418769,-3,M,47195
33.21,1.085057383588591,-3,M,47195
155.84,0.32638971983814546,-3,M,47195
64.12,-1.292065672841432,-3,M,47195
158.21,-0.517745275661619,-3,M,47195
69.34,0.3039955737284972,-7,M,47196
81.34,-0.41724131844750395,-7,M,47196
91.23,-0.40195302092734875,-7,M,47196
150.47,-0.8126182810668979,-7,M,47196
103.25,-0.17705662994963217,-7,M,47196
90.68,0.011173826116223121,-7,M,47198
125.01,-0.008661329310293644,-7,M,47198
103.75,-0.40195302092734875,-7,M,47198
111.94,-0.8968823060678369,-7,M,47198
119.77,-0.7111013977556003,-7,M,47198
133,-0.8543867164648149,-5,M,47200
109.98,-0.55037045468832,-5,M,47200
121.28,0.7084324433902892,-5,M,47200
119.81,1.5999502576759852,-5,M,47200
120.47,2.2033564475355454,-5,M,47200
149.01,1.9997067923051255,-5,M,47200
80.19,-2.3266439322309544,-4,M,47200
89.9,-1.136003208737942,-4,M,47200
88.23,-1.7075386073099272,-4,M,47200
108.49,-0.9539204265205773,-4,M,47200
197.04,0.32468933201773437,-4,M,47200
187.07,0.8781089820287381,-4,M,47200
73.2,-0.012005374735248268,-2,M,47200
120.04,0.7657110768128917,-2,M,47200
123.19,0.5225855394131862,-2,M,47200
189.76,-0.32333956288781657,-2,M,47200
186.58,-0.3647018055333454,-2,M,47200
111.44,1.1882112061241707,-2,M,47200
51.98,1.1206434483367205,-2,M,47200
46.48,-0.9437735769049497,-3,M,47275
106.95,-0.05294791296117927,-3,M,47275
124.16,0.7711918003057335,-3,M,47275
178.38,1.7137078485961956,-3,M,47275
154.13,1.3630470877294234,-3,M,47275
162.39,-0.4889705549993197,-3,M,47275
101.31,0.2517383744501137,-3,M,47275
52.95,-1.3198622278921301,-8,F,47290
53.52,-1.6547400630667428,-8,F,47290
54.06,-1.5043463586828423,-8,F,47290
45.47,-1.0673736365600115,-8,F,47290
71.08,-0.03498769263895102,-8,F,47290
108.02,-0.22994865821458138,-8,F,47290
99.34,-0.7934902320332075,-8,F,47290
168.23,-0.5056240086897273,-8,F,47290
155.9,0.10975732065146512,-8,F,47290
127.6,0.25917374191734244,-8,F,47290
170.47,1.505151180698277,-8,M,47298
144.25,1.543076469107509,-8,M,47298
133.99,0.654571870310997,-8,F,47317
153.57,1.505151180698277,-8,F,47317
90.79,1.0282234352866924,-8,F,47317
147.12,-0.04838004634996143,-8,F,47317
95.12,1.2085422802336696,-8,F,47317
75.84,-0.3428361288278888,-7,M,47352
90.88,-0.40195302092734875,-7,M,47352
78.9,-0.8820677794475655,-7,M,47352
91.63,-0.8072525859235299,-7,M,47352
136.74,-0.8259171311416116,-7,M,47352
95.59,0.8925402389691682,-7,M,47352
167.52,0.7531888036824822,-7,M,47352
65.76,0.40155627120555504,-2,M,47352
82.31,0.9036384162406853,-2,M,47352
125.23,0.5225855394131862,-2,M,47352
161.4,-0.32333956288781657,-2,M,47352
79.39,-0.4843470832659625,-2,M,47352
51.4,0.25761893565014216,-2,M,47352
205.99,0.40657524770942555,-2,M,47352
115.3,-0.18925144461904492,0,M,47352
75.18,-0.32367126161483895,0,M,47352
94.98,-0.24675380708513944,0,M,47352
116.34,-1.1907048158029732,0,M,47352
134.86,-0.21918344804098566,0,M,47352
135.73,-0.44294432697806757,0,M,47352
131.74,-0.49789750342677724,0,M,47352
89.68,-0.13042994912372502,-7,M,47354
105.67,-0.40195302092734875,-7,M,47354
119.7,-0.8968823060678369,-7,M,47354
76.02,-0.7111013977556003,-7,M,47354
74.5,-0.9153010133364534,-7,M,47354
112.63,0.16456128760960162,-7,M,47354
67.45,0.712652775503027,-7,M,47354
133.76,0.6711365974202954,-7,M,47354
123.14,-0.3999987491671451,-3,M,47378
112.66,-0.7503462691055661,-3,M,47378
125.2,-0.4277167550918965,-3,M,47378
17.9,0.3164956568743098,-3,M,47378
127.57,0.8046446441240553,-5,M,48481
131.87,2.2033564475355454,-5,M,48481
133.13,1.9997067923051255,-5,M,48481
103.9,0.6364658741784984,-5,M,48481
174.57,0.04934275876324628,-5,M,48481
126.11,0.12011472204966285,-5,M,48481
132.01,0.7552734685558903,-5,M,48481
87.62,-1.2972931828166616,-4,M,48481
84.25,-2.3266439322309544,-4,M,48481
120.08,-1.136003208737942,-4,M,48481
74.15,-0.9539204265205773,-4,M,48481
166.09,0.04121043305299307,-4,M,48481
131.63,0.6710474061949598,-4,M,48481
99.22,-0.7503462691055661,-3,M,49879
86.78,-0.3746324579243882,-3,M,49879
131.04,-0.05294791296117927,-3,M,49879
126.39,-0.47161554145782086,-3,M,49879
106.58,-0.4889705549993197,-3,M,49879
101.93,0.8987229187047152,1,M,49915
77.1,-1.4313037461007516,1,M,49915
77.03,-1.2059409779562635,1,M,49915
68.66,-0.3018259773921978,1,M,49915
82.2,0.2182039870493132,1,M,49915
101.21,0.1821449278867023,1,M,49915
47.94,1.7406301506384123,1,M,49915
128.3,-1.0306282503941195,-5,M,49936
135.2,-0.9952706047490227,-5,M,49936
112.25,0.7084324433902892,-5,M,49936
55.82,2.2033564475355454,-5,M,49936
129.92,2.0314001011278195,-5,M,49936
140.1,0.5698027074227351,-5,M,49936
53.32,-1.9378115695708353,-4,M,51522
50.15,-1.8323876716922283,-4,M,51522
75.1,-1.7131472104896657,-4,M,51522
103.6,-1.3387646255168217,-4,M,51522
114.55,-0.9539204265205773,-4,M,51522
134.08,0.03678178434871762,-4,M,51522
142.59,0.8781089820287381,-4,M,51522
119.49,-0.4277167550918965,-3,M,51523
129.1,0.09598293838000668,-3,M,51523
179.64,1.7137078485961956,-3,M,51523
170.28,1.3630470877294234,-3,M,51523
140.99,0.3164956568743098,-3,M,51523
155.38,-1.292065672841432,-3,M,51523
182.8,0.9036384162406853,-2,M,51523
182.21,0.3158631181981125,-2,M,51523
123.33,1.1692728118389368,-2,M,51523
42.9,1.0285418543135605,-2,M,51523
59.45,-1.7686400023842426,-4,M,51551
73.61,-2.3266439322309544,-4,M,51551
66.67,-1.0880877703023921,-4,M,51551
78.67,-1.7075386073099272,-4,M,51551
175.84,-0.9539204265205773,-4,M,51551
78.74,0.626632340715158,-4,M,51551
50.04,0.7016443308990181,-4,M,51551
91.06,0.762196332493487,-4,M,51551
96.88,0.69116791298009,-4,M,51551
121.37,0.3387939389298092,-1,M,51551
82.34,0.28735243386528736,-1,M,51551
106.64,0.448020177360797,-1,M,51551
131.39,1.062892393200481,-1,M,51551
120.88,1.1138467222922361,-1,M,51551
94.72,2.163766123554288,-1,M,51551
78.75,-0.23511349460755518,-6,M,51698
126.46,-0.4792260920664518,-6,M,51698
154.76,-0.5424143995968217,-6,M,51698
82.73,-0.23511349460755518,-6,M,51701
157.57,-0.29165817593545385,-6,M,51701
186.16,-0.5424143995968217,-6,M,51701
194.98,-0.482153806371284,-6,M,51701
105.14,-2.3266439322309544,-4,M,51701
118.33,-1.0880877703023921,-4,M,51701
92.49,-1.7075386073099272,-4,M,51701
114.64,-0.64521031314613575,-4,M,51701
174.1,0.03678178434871762,-4,M,51701
158.47,0.8781089820287381,-4,M,51701
185.14,0.36178234939205794,-6,M,51702
94.99,-1.7075386073099272,-4,M,51702
164.87,0.8644821985948831,-4,M,51702
180.3,0.45192011336158355,-4,M,51702
90.18,-0.55037045468832,-5,M,51722
117.17,0.7227093980718088,-5,M,51722
108.01,2.2033564475355454,-5,M,51722
126.1,0.04934275876324628,-5,M,51722
152.48,0.12011472204966285,-5,M,51722
130.45,0.8086946398179345,-5,M,51722
104.01,-0.38934829922184405,-1,M,51722
127.96,-0.5623045876558141,-1,M,51722
173.68,0.4437098026946551,-1,M,51722
165.48,0.9077068175155699,-1,M,51722
118.21,1.0644763989753894,-1,M,51722
146.56,0.6982440735624633,-1,M,51722
156.09,1.366962754363284,-1,M,51722
71.91,-2.3266439322309544,-4,M,51742
103.04,-1.136003208737942,-4,M,51742
100.01,-0.9539204265205773,-4,M,51742
