DistBetweenPrev,zscore_climate,center_year,Sex,PenguinSeq
23.09589839,0.47901391602209636,-12,TRUE,47060
27.4950513,0.25558326092454753,-12,TRUE,47060
40.03708387,0.46381235727602116,-12,TRUE,47060
17.37886467,0.14130802902286205,-12,TRUE,47060
15.06649999,-0.13181253288784572,-11,TRUE,28535
24.39871808,0.8924376483852864,-11,TRUE,28535
2.530065505,-1.6846862109389118,-11,TRUE,28535
77.64348343,-0.2698370103721475,-11,TRUE,28535
81.83192904,-1.302763886703795,-11,TRUE,28535
57.25214937,-0.32190551028008285,-11,TRUE,30347
52.31896207,-0.3697723936765586,-11,TRUE,30347
68.18564118,0.5226562573918186,-10,TRUE,7952
16.17846384,1.165296693260327,-10,TRUE,7952
20.29446618,1.3507973169125653,-10,TRUE,7952
34.89871985,1.2130540935996699,-10,TRUE,7952
30.42079057,1.4739117472272885,-10,TRUE,7952
40.57797525,1.2038270494238206,-10,TRUE,7952
59.28635663,-1.7006336516496188,-10,TRUE,27832
29.10380611,-1.3247902315522069,-10,TRUE,27832
60.19751737,-1.5748700253529437,-10,TRUE,27832
8.316879758,1.5408745102052532,-10,TRUE,30129
12.43340258,1.1781561584395566,-10,TRUE,30129
16.18283332,0.7536328395256698,-10,TRUE,30129
9.505390822,-0.48004339900532267,-10,TRUE,30129
2.420894029,0.6315061139993918,-10,TRUE,30129
10.49223652,0.46329076828328125,-10,TRUE,30129
62.03925426,-0.5386024798890587,-10,TRUE,30129
15.10972958,1.2130540935996699,-10,TRUE,30508
10.73721705,-0.9942256029185291,-10,TRUE,30508
19.9981612,0.14149289392465486,-10,TRUE,30508
8.861637221,-0.9246015129876138,-10,TRUE,30508
57.46929013,0.42336050630527533,-9,TRUE,31967
37.37617755,-0.3181214698755205,-9,TRUE,31967
38.49830146,-0.051499433901581654,-9,TRUE,31967
28.39837476,-2.3712924197478995,-9,FALSE,47160
22.75147514,-1.075081637197213,-9,FALSE,47160
53.96126461,0.5552666180640727,-9,FALSE,47160
83.0564018,-0.26900451287461746,-9,FALSE,47160
33.08380144,0.42336050630527533,-9,TRUE,47161
100.2496723,-0.20110720767736429,-9,TRUE,47161
82.71534437,0.9083424852930603,-9,TRUE,47168
39.05795272,-0.7764405025881363,-9,TRUE,47168
16.573273059999998,-0.26900451287461746,-9,TRUE,47168
18.6911803,-1.7993172957038988,-8,TRUE,27832
42.16090309,-1.9511832407266374,-8,TRUE,27832
27.85892043,-0.4847117587154585,-8,TRUE,27832
14.81006099,-0.15835250026408443,-8,TRUE,27832
